"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"11/13/2025","Qualified Dividend","AAPL","APPLE INC","","","","$0.26"
"11/03/2025","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"10/07/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$85.00"
"10/07/2025","Sell","NEE","NEXTERA ENERGY INC","1","$83.2016","","$83.20"
"10/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"09/29/2025","Margin Interest","","INTEREST 08/28THRU 09/28","","","","-$0.21"
"09/23/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$260.00"
"09/23/2025","Sell","GOOGL","ALPHABET INC CLASS A","1","$252.71","","$252.71"
"09/19/2025","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.12"
"09/15/2025","Qualified Dividend","GOOGL","ALPHABET INC CLASS A","","","","$0.21"
"09/15/2025","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.13"
"09/10/2025","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.97"
"09/08/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$350.00"
"09/08/2025","Sell","TSLA","TESLA INC","1","$354.70","","$354.70"
"08/14/2025","Qualified Dividend","AAPL","APPLE INC","","","","$0.26"
"08/01/2025","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"07/03/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"06/26/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$1293.03"
"06/25/2025","Sell","NFLX","NETFLIX INC","1","$1286.84","","$1286.84"
"06/20/2025","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.17"
"06/16/2025","Qualified Dividend","GOOGL","ALPHABET INC CLASS A","","","","$0.21"
"06/16/2025","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.13"
"06/12/2025","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$0.83"
"06/10/2025","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.97"
"05/29/2025","Margin Interest","","INTEREST 04/29THRU 05/28","","","","-$0.10"
"05/22/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$458.00"
"05/21/2025","Sell","MSFT","MICROSOFT CORP","1","$455.81","","$455.81"
"05/15/2025","Qualified Dividend","AAPL","APPLE INC","","","","$0.26"
"05/14/2025","Buy","SCWO","374WATER INC","50","$0.288","","-$14.40"
"05/12/2025","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","-$300.00"
"05/12/2025","Sell","IYW","ISHARES US TECHNOLOGY ETF","1","$154.745","","$154.75"
"05/12/2025","Sell","EBAY","EBAY INC","2","$68.8903","","$137.78"
"05/01/2025","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"04/02/2025","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"03/28/2025","Qualified Dividend","EBAY","EBAY INC","","","","$0.58"
"03/21/2025","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.23"
"03/17/2025","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.13"
"03/17/2025","Qualified Dividend","GOOGL","ALPHABET INC CLASS A","","","","$0.20"
"03/13/2025","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$0.83"
"03/10/2025","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.97"
"02/13/2025","Qualified Dividend","AAPL","APPLE INC","","","","$0.25"
"02/03/2025","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"12/27/2024","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"12/20/2024","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.20"
"12/16/2024","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.03"
"12/16/2024","Qualified Dividend","GOOGL","ALPHABET INC CLASS A","","","","$0.20"
"12/13/2024","Qualified Dividend","EBAY","EBAY INC","","","","$0.54"
"12/12/2024","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$0.83"
"12/10/2024","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.97"
"11/14/2024","Qualified Dividend","AAPL","APPLE INC","","","","$0.25"
"11/11/2024","Reverse Split","FCEL","FUELCELL ENERGY INC","1","","",""
"11/11/2024","Reverse Split","35952H601","FUELCELL ENERGY INC XXXREVERSE SPLIT EFF: 11/11/24","-30","","",""
"11/01/2024","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"10/03/2024","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"09/30/2024","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.32"
"09/16/2024","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.03"
"09/16/2024","Qualified Dividend","GOOGL","ALPHABET INC CLASS A","","","","$0.20"
"09/13/2024","Qualified Dividend","EBAY","EBAY INC","","","","$0.54"
"09/12/2024","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$0.75"
"09/10/2024","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.85"
"08/15/2024","Qualified Dividend","AAPL","APPLE INC","","","","$0.25"
"08/01/2024","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"07/10/2024","Bank Interest","","BANK INT ...924 SCHWAB BANK","","","","$0.02"
"07/02/2024","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN","","","","-$78.00"
"06/28/2024","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.10"
"06/17/2024","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.03"
"06/17/2024","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.24"
"06/17/2024","Qualified Dividend","GOOGL","ALPHABET INC. CLASS A","","","","$0.20"
"06/17/2024 as of 06/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.05"
"06/14/2024","Qualified Dividend","EBAY","EBAY INC","","","","$0.54"
"06/10/2024","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.85"
"06/10/2024 as of 06/07/2024","Stock Split","NVDA","NVIDIA CORP","9","$120.888","",""
"05/17/2024","Buy","MSFT","MICROSOFT CORP","1","$418.7255","","-$418.73"
"05/16/2024","Qualified Dividend","AAPL","APPLE INC","","","","$0.25"
"05/16/2024 as of 05/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.18"
"05/01/2024","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"04/16/2024 as of 04/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.19"
"03/27/2024","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.04"
"03/27/2024","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.24"
"03/25/2024","Qualified Dividend","EBAY","EBAY INC","","","","$0.54"
"03/18/2024 as of 03/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.34"
"03/15/2024","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$1.03"
"03/11/2024","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.85"
"03/01/2024","Buy","NFLX","NETFLIX INC","1","$610.075","","-$610.08"
"02/22/2024","Buy","NVDA","NVIDIA CORP","1","$774.15","","-$774.15"
"02/21/2024","Sell","NVDA","NVIDIA CORP","1","$680.53","$0.01","$680.52"
"02/16/2024 as of 02/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.49"
"02/15/2024","Qualified Dividend","AAPL","APPLE INC","","","","$0.24"
"02/01/2024","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.33"
"01/22/2024","Buy","AMZN","AMAZON.COM INC","1","$155.05","","-$155.05"
"01/22/2024","Buy","AAPL","APPLE INC","1","$193.96","","-$193.96"
"01/16/2024 as of 01/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$0.21"
"01/04/2024","Sell","AAPL","APPLE INC","1","$181.64","","$181.64"
"01/03/2024","Sell","AMZN","AMAZON.COM INC","1","$150.63","","$150.63"
"01/03/2024","Sell","AAPL","APPLE INC","1","$184.4672","","$184.47"
"01/03/2024","Sell","NFLX","NETFLIX INC","1","$473.02","","$473.02"
"01/02/2024","Sell","IYW","ISHARES US TECHNOLOGY ETF","1","$119.2527","","$119.25"
"01/02/2024","Sell","MAR","MARRIOTT INTL INC CLASS A","1","$224.4106","","$224.41"
"01/02/2024","Sell","AMD","ADVANCED MICRO DEVICE IN","1","$139.05","","$139.05"
"01/02/2024","Sell","AMZN","AMAZON.COM INC","1","$148.84","","$148.84"
"12/29/2023","Qualified Dividend","MAR","MARRIOTT INTL INC CLASS A","","","","$0.52"
"12/28/2023","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.04"
"12/27/2023","Special Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.65"
"12/27/2023","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.28"
"12/15/2023","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$0.94"
"12/15/2023","Qualified Dividend","EBAY","EBAY INC","","","","$0.50"
"12/11/2023","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.85"
"11/16/2023","Qualified Dividend","AAPL","APPLE INC","","","","$0.48"
"11/16/2023 as of 11/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.03"
"11/01/2023","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.21"
"10/19/2023","Buy","NFLX","NETFLIX INC","1","$405.00","","-$405.00"
"10/16/2023 as of 10/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.17"
"10/02/2023","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.35"
"09/29/2023","Qualified Dividend","MAR","MARRIOTT INTL INC CLASS A","","","","$0.52"
"09/28/2023","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.04"
"09/27/2023","Buy","AAPL","APPLE INC","2","$169.96","","-$339.92"
"09/18/2023 as of 09/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.24"
"09/15/2023","Qualified Dividend","EBAY","EBAY INC","","","","$0.50"
"09/15/2023","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$0.94"
"09/11/2023","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.73"
"09/06/2023","Sell","AAPL","APPLE INC","2","$183.2923","","$366.58"
"08/30/2023","Buy","NVDA","NVIDIA CORP","1","$491.625","","-$491.63"
"08/17/2023","Qualified Dividend","AAPL","APPLE INC","","","","$0.48"
"08/16/2023 as of 08/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.29"
"08/01/2023","Qualified Dividend","CVS","CVS HEALTH CORP","","","","$1.21"
"07/17/2023 as of 07/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.29"
"07/03/2023","Buy","TSLA","TESLA INC","1","$276.35","","-$276.35"
"07/03/2023","Buy","EBAY","EBAY INC","2","$44.66","","-$89.32"
"07/03/2023","Buy","MAR","MARRIOTT INTL INC CLASS A","1","$183.41","","-$183.41"
"07/03/2023","Buy","IYW","ISHARES US TECHNOLOGY ETF","1","$108.85","","-$108.85"
"07/03/2023","Buy","SCWO","374WATER INC","15","$2.39","","-$35.85"
"07/03/2023","Buy","IYW","ISHARES US TECHNOLOGY ETF","1","$108.85","","-$108.85"
"06/27/2023","MoneyLink Transfer","","Tfr JPMorgan Chase Ban","","","","$1300.00"
"06/16/2023 as of 06/15/2023","Bank Interest","","BANK INT ...523 SCHWAB BANK","","","","$0.09"
"06/15/2023","Qualified Dividend","NEE","NEXTERA ENERGY INC","","","","$0.94"
"06/13/2023","Cash Dividend","IYW","ISHARES US TECHNOLOGY ETF","","","","$0.14"
"06/13/2023","Sell","FCEL","FUELCELL ENERGY INC","30","$2.693","","$80.79"
"06/09/2023","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$2.73"
"05/19/2023","Buy","AMD","ADVANCED MICRO DEVICES I","1","$106.18","","-$106.18"
"05/19/2023","Buy","GOOGL","ALPHABET INC. CLASS A","1","$123.60","","-$123.60"
"05/18/2023","Qualified Dividend","AAPL","APPLE INC","","","","$0.48"
